tensor(0.4726, grad_fn=<MeanBackward0>)
tensor(0.1493, grad_fn=<MeanBackward0>)
tensor(0.1027, grad_fn=<MeanBackward0>)
tensor(0.0394, grad_fn=<MeanBackward0>)
tensor(0.2012, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.2346, grad_fn=<MeanBackward0>)
tensor(0.0558, grad_fn=<MeanBackward0>)
tensor(0.0561, grad_fn=<MeanBackward0>)
tensor(0.0445, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0470, grad_fn=<MeanBackward0>)
tensor(0.0661, grad_fn=<MeanBackward0>)
tensor(0.0768, grad_fn=<MeanBackward0>)
tensor(0.0338, grad_fn=<MeanBackward0>)
tensor(0.0639, grad_fn=<MeanBackward0>)
tensor(0.1743, grad_fn=<MeanBackward0>)
tensor(0.0681, grad_fn=<MeanBackward0>)
tensor(0.2311, grad_fn=<MeanBackward0>)
tensor(0.0317, grad_fn=<MeanBackward0>)
tensor(0.0492, grad_fn=<MeanBackward0>)
tensor(0.0642, grad_fn=<MeanBackward0>)
tensor(0.2118, grad_fn=<MeanBackward0>)
tensor(0.0926, grad_fn=<MeanBackward0>)
tensor(0.0677, grad_fn=<MeanBackward0>)
tensor(0.2074, grad_fn=<MeanBackward0>)
tensor(0.0781, grad_fn=<MeanBackward0>)
tensor(0.0397, grad_fn=<MeanBackward0>)
tensor(0.0354, grad_fn=<MeanBackward0>)
tensor(0.0891, grad_fn=<MeanBackward0>)
tensor(0.0433, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.2031, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0493, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1435, grad_fn=<MeanBackward0>)
tensor(0.2462, grad_fn=<MeanBackward0>)
tensor(0.0128, grad_fn=<MeanBackward0>)
tensor(0.1057, grad_fn=<MeanBackward0>)
tensor(0.0290, grad_fn=<MeanBackward0>)
tensor(0.0832, grad_fn=<MeanBackward0>)
tensor(0.0834, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.2147, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1263, grad_fn=<MeanBackward0>)
tensor(0.0848, grad_fn=<MeanBackward0>)
tensor(0.1111, grad_fn=<MeanBackward0>)
tensor(0.1707, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0771, grad_fn=<MeanBackward0>)
tensor(0.1551, grad_fn=<MeanBackward0>)
tensor(0.0082, grad_fn=<MeanBackward0>)
tensor(0.1539, grad_fn=<MeanBackward0>)
tensor(0.0293, grad_fn=<MeanBackward0>)
tensor(0.1508, grad_fn=<MeanBackward0>)
tensor(0.0208, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.2238, grad_fn=<MeanBackward0>)
tensor(0.0252, grad_fn=<MeanBackward0>)
tensor(0.0231, grad_fn=<MeanBackward0>)
tensor(0.0499, grad_fn=<MeanBackward0>)
tensor(0.1805, grad_fn=<MeanBackward0>)
tensor(0.0854, grad_fn=<MeanBackward0>)
tensor(0.0337, grad_fn=<MeanBackward0>)
tensor(0.1392, grad_fn=<MeanBackward0>)
tensor(0.0964, grad_fn=<MeanBackward0>)
tensor(0.0110, grad_fn=<MeanBackward0>)
tensor(0.1041, grad_fn=<MeanBackward0>)
tensor(0.3776, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0336, grad_fn=<MeanBackward0>)
tensor(0.1004, grad_fn=<MeanBackward0>)
tensor(0.0097, grad_fn=<MeanBackward0>)
tensor(0.0944, grad_fn=<MeanBackward0>)
tensor(0.0747, grad_fn=<MeanBackward0>)
tensor(0.1629, grad_fn=<MeanBackward0>)
tensor(0.2342, grad_fn=<MeanBackward0>)
tensor(0.0773, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0937, grad_fn=<MeanBackward0>)
tensor(0.1291, grad_fn=<MeanBackward0>)
tensor(0.0887, grad_fn=<MeanBackward0>)
tensor(0.0405, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0491, grad_fn=<MeanBackward0>)
tensor(0.0295, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0397, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0219, grad_fn=<MeanBackward0>)
tensor(0.0070, grad_fn=<MeanBackward0>)
tensor(0.1036, grad_fn=<MeanBackward0>)
tensor(0.1153, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.3117, grad_fn=<MeanBackward0>)
tensor(0.1819, grad_fn=<MeanBackward0>)
tensor(0.1266, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0416, grad_fn=<MeanBackward0>)
tensor(0.1930, grad_fn=<MeanBackward0>)
tensor(0.0072, grad_fn=<MeanBackward0>)
tensor(0.0471, grad_fn=<MeanBackward0>)
tensor(0.0311, grad_fn=<MeanBackward0>)
tensor(0.2726, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.2328, grad_fn=<MeanBackward0>)
tensor(0.0816, grad_fn=<MeanBackward0>)
tensor(0.0516, grad_fn=<MeanBackward0>)
tensor(0.1315, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1018, grad_fn=<MeanBackward0>)
tensor(0.1280, grad_fn=<MeanBackward0>)
tensor(0.0086, grad_fn=<MeanBackward0>)
tensor(0.0140, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0282, grad_fn=<MeanBackward0>)
tensor(0.1056, grad_fn=<MeanBackward0>)
tensor(0.1066, grad_fn=<MeanBackward0>)
tensor(0.0267, grad_fn=<MeanBackward0>)
tensor(0.0171, grad_fn=<MeanBackward0>)
tensor(0.0741, grad_fn=<MeanBackward0>)
tensor(0.1028, grad_fn=<MeanBackward0>)
tensor(0.2924, grad_fn=<MeanBackward0>)
tensor(0.1795, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0721, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0817, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0854, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0233, grad_fn=<MeanBackward0>)
tensor(0.0183, grad_fn=<MeanBackward0>)
tensor(0.1582, grad_fn=<MeanBackward0>)
tensor(0.0494, grad_fn=<MeanBackward0>)
tensor(0.0549, grad_fn=<MeanBackward0>)
tensor(0.0197, grad_fn=<MeanBackward0>)
tensor(0.1570, grad_fn=<MeanBackward0>)
tensor(0.0387, grad_fn=<MeanBackward0>)
tensor(0.1011, grad_fn=<MeanBackward0>)
tensor(0.0623, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0020, grad_fn=<MeanBackward0>)
tensor(0.1765, grad_fn=<MeanBackward0>)
tensor(0.0122, grad_fn=<MeanBackward0>)
tensor(0.0658, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0937, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0598, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0917, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0788, grad_fn=<MeanBackward0>)
tensor(0.1326, grad_fn=<MeanBackward0>)
tensor(0.2002, grad_fn=<MeanBackward0>)
tensor(0.2419, grad_fn=<MeanBackward0>)
tensor(0.0050, grad_fn=<MeanBackward0>)
tensor(0.0440, grad_fn=<MeanBackward0>)
tensor(0.0714, grad_fn=<MeanBackward0>)
tensor(0.0021, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0145, grad_fn=<MeanBackward0>)
tensor(0.2789, grad_fn=<MeanBackward0>)
tensor(0.0486, grad_fn=<MeanBackward0>)
tensor(0.0138, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0914, grad_fn=<MeanBackward0>)
tensor(0.1214, grad_fn=<MeanBackward0>)
tensor(0.0841, grad_fn=<MeanBackward0>)
tensor(0.1958, grad_fn=<MeanBackward0>)
tensor(0.0306, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.2412, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0211, grad_fn=<MeanBackward0>)
tensor(0.1326, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1649, grad_fn=<MeanBackward0>)
tensor(0.2231, grad_fn=<MeanBackward0>)
tensor(0.2523, grad_fn=<MeanBackward0>)
tensor(0.0462, grad_fn=<MeanBackward0>)
tensor(0.0659, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0592, grad_fn=<MeanBackward0>)
tensor(0.1135, grad_fn=<MeanBackward0>)
tensor(0.1558, grad_fn=<MeanBackward0>)
tensor(0.0360, grad_fn=<MeanBackward0>)
tensor(0.1428, grad_fn=<MeanBackward0>)
tensor(0.0773, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0676, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.3045, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0322, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1519, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1043, grad_fn=<MeanBackward0>)
tensor(0.1038, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0331, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.2092, grad_fn=<MeanBackward0>)
tensor(0.0625, grad_fn=<MeanBackward0>)
tensor(0.0409, grad_fn=<MeanBackward0>)
tensor(0.2671, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0211, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0236, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0685, grad_fn=<MeanBackward0>)
tensor(0.0147, grad_fn=<MeanBackward0>)
tensor(0.1048, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1405, grad_fn=<MeanBackward0>)
tensor(0.1111, grad_fn=<MeanBackward0>)
tensor(0.0012, grad_fn=<MeanBackward0>)
tensor(0.1391, grad_fn=<MeanBackward0>)
tensor(0.0098, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0211, grad_fn=<MeanBackward0>)
tensor(0.0701, grad_fn=<MeanBackward0>)
tensor(0.1405, grad_fn=<MeanBackward0>)
tensor(0.2093, grad_fn=<MeanBackward0>)
tensor(0.1399, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1845, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0058, grad_fn=<MeanBackward0>)
tensor(0.0078, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0541, grad_fn=<MeanBackward0>)
tensor(0.0168, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0657, grad_fn=<MeanBackward0>)
tensor(0.0831, grad_fn=<MeanBackward0>)
tensor(0.0699, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0101, grad_fn=<MeanBackward0>)
tensor(0.3764, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0628, grad_fn=<MeanBackward0>)
tensor(0.0997, grad_fn=<MeanBackward0>)
tensor(0.1018, grad_fn=<MeanBackward0>)
tensor(0.0562, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0068, grad_fn=<MeanBackward0>)
tensor(0.0069, grad_fn=<MeanBackward0>)
